Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Gabbar Is Back,5/1/2015,Y,"Akshay Kumar, Shruti Hassan",1,0,75 - 100,50-100,"86,85,50,000",2:08,2 - 2.5,0,0,73097,136344,142046,147414,2.09700501,0,-0.078073703,0.07034474,0,0,86.52,4.18,3.78,0,0,1,0,0,0,0,1,0,1,0,0,0,0
ABCD 2,19/6/15,Y,"Varun Dhawan, Shraddha Kapoor",1,1,>100,>100,"1,03,58,50,000",2:34,2.5 - 3,172,565155,639499,688058,723523,752809,1.438631299,1,-2.210803804,0.778490812,328478.49,13.15,7.59,5.15,4.05,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Bangistan,31/7/15,N,"Ritesh Deshmukh, Jacqueline Fernandez",0,0,<25,<50,"5,33,60,000",2:15,2 - 2.5,36805,37094,109979,113475,117798,118470,1.426830238,1,0.119574572,-0.024585602,0.79,196.49,3.18,3.81,0.57,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jugni,22/01/16,Y,"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",0,0,<25,<50,"14,05,000",1:55,<2,3615,3653,4832,5073,5292,5399,1.201647007,1,-0.888223949,-1.365880663,1.05,32.27,4.99,4.32,2.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kya Kool Hai Hum 3,22/01/16,Y,"Tushar Kapoor,?Aftab Shivdasani,?Mandana Karimi,?Meghna Naidu,Darshan Jariwala,?Krushna Abhishek,?Claudia Ciesla,?Ritesh Deshmukh,?Gauahar Khan,?Gizele Thakral,?VJ Andy,?Danny Saru",0,0,<25,<50,"23,19,50,000",2:04,2 - 2.5,0,0,0,3511,3656,3710,2.588251709,0,-1.477866433,-1.528820081,0,0,0,4.13,1.48,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Ghayal Once Again,2/5/2016,N,"Sunny Deol, Soha Ali Khan",0,0,25 - 50,<50,"26,84,50,000",2:07,2 - 2.5,3694,104350,112405,114592,115840,117372,1.301585119,1,-0.878835359,-0.028629486,2724.85,7.72,1.95,1.09,1.32,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Kapoor and Sons,18/03/16,N,"Rishi Kapoor, SIddharth Malhotra, Fawad Khan, Alia Bhatt",0,0,50 - 75,50-100,"69,37,50,000",2:12,2 - 2.5,55,61,4870,16089,20658,23364,2.799223636,1,-2.705969561,-0.729646793,10.91,7883.61,230.37,28.4,13.1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
One Night Stand,5/6/2016,Y,"Sunny Leone, Tanuj Virwani",0,1,<25,<50,"3,45,00,000",1:37,<2,0,0,2152,5254,7263,7462,2.543458995,0,-1.609130989,-1.225338746,0,0,144.14,38.24,2.74,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Traffic,5/6/2016,Y,"Manoj Bajpai, Jimmy Shergil",0,0,<25,<50,"3,65,00,000",1:44,2 - 2.5,5801,5810,5813,5828,5830,5836,1.003369782,1,-0.682829385,-1.332078707,0.16,0.05,0.26,0.03,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddha In  A Traffic Jam,13/05/16,N,"Anupam Kher, Arunoday Singh",0,0,<25,<50,"28,75,000",1:54,<2,552,564,587,599,599,602,1.037573251,1,-1.704393173,-2.318597499,2.17,4.08,2.04,0,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0
